Question,Answer
ما الملابس التي ترتديها المرأة للإحرام؟, تحرم بملابسها المعتادة الساترة، لكن لا تلبس النقاب ولا القفاز. 
هل الإحرام من الواجبات أو الإركان في العمرة والحج ؟, الإحرام من أركانهما، وهو مثل تكبيرة الإحرام في الصلاة. 
متى يمكن التحلل من الإحرام ؟, يمكن ذلك عند تحقق إحدى الامور الآتية: - أن يفرغ المسلم من أعمال حجه أو عمرته.  َوال ُع ْم َر َة لِ ّل ِه  َّج  - أو تحقق الإحصار، لقوله تعالى: { َو َأ ِ ُّمتوا ا ْ َحل  .} ِي  ِم َن لا ه ْد  َس َر  َف َما اس َت ْي  ِص ْر ُ ْمت  ُأ ْح  َفإِ ْن  - أو إن اشترط عند إحرامه فقال: (فإن حبسني حابس فم ِح ِّلي حيث حبستني)، فحبسه حابس ومانع. ومن غير هذه الثلاثة لا يحل للمسلم التحلل مطلقا.   اولا: ما يتعلق بلبس الإحرام للرجل 
هل ارتداء ملابس الإحرام يعد دخولا في النسك؟, لا، بل يتحقق الإحرام بالنية والاهلال بالتلبية التي تكون بمحاذاة الميقات، مع الابتعاد عن محظورات الإحرام. 
هل ُيشرع الاضطباع ( اخراج الكتف الايمن ) الإن؟, لا يشرع ذلك، ويكون لبس الرداء قبل الطواف من غير اضطباع. 
من ارتدى ملابس الإحرام، ولم ُيطبق سنن الفطرة، ما حكم صنيعه؟, لا حرج عليه، لان سنن الفطرة لا تعلق لها بالإحرام. 
هل يؤجر من فعلها قبل زداء العمرة أو الحج؟, نعم، ففيها تطبيق للسنة، وتمسك بالنظافة عموما. 
هل ارتداء ملابس الإحرام يعني البعد عن قص الشعر والظفر ووضع الطيب، وغيرها من المحظورات؟, مجرد اللبس لاستعداد لا يمنع بعده من قص الظفر والتطيب على الجسد، وغيرها من المباحات قبل الإهلال بالنسك. 
ما حكم من لم يغتسل قبل لبسه للإحرام ؟ ولم يتوضأ أيضا ؟, الاغتسال أو الوضوء قبل لبس الإحرام من المستحبات. 
ما حكم التجرد من الملابس المخيطة بالنسبة إلى الرجل؟, هذا الإمر واجب عند الإهلال بالنسك ( العمرة أو الحج .)   
هل ورد في إحرام الرجل لون معني؟,نعم  ُيستحب له اللون الأبيض. 
  ، هل ُيشرع لبس إزارا أو رداء ملونا؟, نعم، الألوان الأخرى جائزة. 
ما حكم غسل ملابس الإحرام بعد الشراء؟, إن كان الغسل خشية الوسخ، أو لوجود رائحة المصنع فهذا أمر لا بأس فيه، لكن لا يشرع الغسل بسبب الوسوسة من وجود نجاسة فهذا من التكلف. 
إذا قامت الزوجة بتبخير الإحرام الجديد أو تعطيره بعد أن غسلته، وبدون علم الزوج. فماذا عليه أن يصنع؟, متى ما علم بهذا الفعل فالواجب عليه غسله، أو استبداله بغيره لو تيسر، ولو أدى العبادة به جها فلا شيء عليه. 
من تطيب على جسده ، ثم سقط منه شيء على إحرامه عند ارتدائه. هل يجب عليه غسله؟, لا يجب عليه غسله، ألنه لم يتعمد وضعه على إحرامه. 
لو انشق الإحرام هل يمكن خياطته؟, نعم، حتى ولو كان صاحبه قد أهل بالنسك. 
من قال بالحكم السابق؟, قال ابن تيمية: « والسّنة أن يحرم في إزار ورداء، سواء كانا مخيطين أو غير مخيطين، باتفاق الأئمة.» مجموع الفتاوى )109/26(   وقال ابن قدامة: « ولو لبس إزارا موصا، أو اتشح بثوب مخيط جاز.» المغني )231/3( 
الساعة والحزام وفيهما الخيوط. هل يعدان من المخيط؟, هذه الأشياء لا تدخل في محظور المخيط. 
النعال التي فيها خيط، هل يجوز للرجل لبسها للإحرام؟, نعم، ألنها لا تعد من المحظورات على المحرم استعمالها. 
من خاط إحرامه في الأعلى ليمسك مثل السروال، لكنه مفتوح في الأسفل، ولا يشابه السروال المفصل، فما حكمه؟, يجوز، وهو من التيسير في الارتداء. 
من وضع مشبكا من حديد في الإحرام لتفادي سقوطه وظهور العورة. هل يعد هذا من تفصيل الجسد؟, لا بأس باستعمال المشبك، أو ما شابهه لتثبيت الإحرام. 
هل الإزار المغلق من جميع النواحي (غير مفتوح) جائز؟, يجوز لبسه للنسك، ألنه لم يخرج عن كونه إزارا. 
قماش الإحرام الذي فيه تطريز ونقش على حافته ، هل يعد من المخيط فيجب عدم لبسه؟, لا يعد من المخيط، لكن على المسلم أن يبتعد عن التميز في اللباس بن أصحابه، أو مع المسلمين. 
هل ُيشرع تغيير الإحرام لوجود وساخة أو عرق؟, نعم، ويستطيع الرجل أو المرأة تغيير الملابس ألي سبب. 
حاج نسي خلع السراويل أو الفانيلة أو الجورب، ماذا عليه؟,   الناسي لا شيء عليه، ومتى ما ُأخبر أو تذكر فينبغي عليه أن يخلع السروال أو الفانيلة، ولا إثم عليه ولا فدية. 
من لم يخلع سرواله عند الإحرام نتيجة للخجل، فهل عليه شيء؟, إن تعمد هذا مع علمه بالخطأ، فتجب عليه الفدية لارتكابه محظورا من محظورات الإحرام. 
هل ُيشرع إلباس الصغير الإحرام؟, نعم، فحكم الصبي كالذكور البالغون، وحكم الجارية كالإناث البالغات، مع الحرص على تعليمه أحكام العبادة. 
ما حكم إلباس الطفل الحفاضات في الحرم؟, لا بأس بهذا، مع الاحتياط من سقوط شيء من النجاسات. 
لسبب ما تم نزع الإحرام عن الصغير وإلباسه الملابس المعتادة، هل عليه فدية؟, الصغير لا شيء عليه إن لم يتم النسك ألنه غير مكلف. ثانيا: ما يتعلق بإحرام المرأة : 
ما المحظور على المرأة لبسه بعد الإحرام؟, تبتعد عن النقاب والبرقع والقفازين عند الإحرام. 
هل ورد في ملابس المرأة للنسك لون معني؟, لا، وتخصيص لون معن في العمرة أو الحج لا يجوز. 
هل هناك فرق بني لبس العباءة التي على الرأس، أو على   الكتف في إحرام المرأة؟, المرأة لها أن تحرم بأي لباس ساتر وواسع، وليس فيه زينة. 
ما القول مع من تشتري ملابس جديدة لأداء العمرة أو الحج فيها؟, هذا من التكلف، ولا ينبغي فعل هذا التخصيص. 
هل يجوز للمرأة لبس الذهب في العمرة أو الحج؟, يجوز، لكن الواجب أن تبتعد عن الزينة ولفت النظر إليها، وحذرا من السرقة. 
ماذا تفعل المرأة إن حاضت قبل بلوغ الميقات؟, عليها أن تغتسل وتهل بالعمرة، وإن خشيت الإ تطهر قبل أن يرجع أهلها فلها أن تشترط قائلة: (فإن حبسني حابس فمحلي حيث حبستني )، ولا شيء عليها بعد ذلك لو لم تؤد العمرة. 
من حاضت بعد بالتلبية، هل تقطع عملها، أم ماذا تفعل؟, تكمل أعمالها وتواصل تلبيتها، والحيض لا يمنع الدعاء والتهليل وقراءة القرآن، لكن لا تعتمر إلا بعد أن تطهر. 
ما العمل لو كان الحيض متصلا بالحج؟, لها أن ُتدخل العمرة بالحج، وتفعل كل أمر إلا الطواف. 
امرأة استعملت مانعا للحيض من أجل العمرة، ومع التعب نزل عليها شيء مثل الكدرة ، فما حكمه ؟, هذا ليس بشيء حتى وإن استمر، ما دام لم يكن دما خالصا. 
من زار أقارب له في مكة ولم يكن محرما، ثم أراد العمرة   ماذا يفعل؟, له أن يذهب إلى أقرب منطقة للحل، مثل التنعيم (والمسمى بمسجد عائشة) ويحرم منه للعمرة. 
معتمر حلق شعر رأسه قبل العمرة بناء على فتوى خاطئة، ماذا يفعل ؟, هذا لا شيء عليه ، وعليه بعد الفراغ من عمرته الحلق أو التقصير حسب وجود الشعر. ثالثا: الإهلال بالعمرة أو الحج: 
ما معنى الإهلال بالعمرة أو الحج؟, الإهلال هو الدخول بالنسك، ويكفي في ذلك التلبية، أو قول: (لبيك اللهم عمرة أو حجا ) دلالة على النية، مع ترك الرجل والمرأة الملابس المحظور عليهما لبسها. 
من لم يتلفظ بالنية، هل يكفي ما في قلبه؟, نعم، وأجاز هذا الأئمة؛ منهم النووي وابن تيمية وابن باز رحمهم الله. 
ما أنواع نسك الحج التي يمكن الإهلال بها لمن يريد الحج؟, أنواع نسك الحج ثلاثة: الأول: حج التمتع، وفيه أداء العمرة، ثم يتحلل المسلم من إحرامه، ثم ُيحرم في يوم التروية ليؤدي فريضة الحج، وعليه الهدي الثاني: حج القران، وفيه عمرة متصلة بالحج دون تحلل،   ويكفي فيه سعي واحد فقط، وعليه الهدي. الثالث: حج الإفراد، وفيه أعمال الحج فقط، ولا هدي فيه. 
ما صيغة الإهلال لنسك العمرة و الحج؟, - للإهلال بالعمرة فقط، نقول: لبيك اللهم بعمرة. – للإهلال بالحج فقط ( إفراد ) نقول: لبيك اللهم حجا. - للإهلال بالعمرة والحج ( متمتعا ) نقول: لبيك اللهم عمرة متمتعا بها إلى الحج.  ِقران ) نقول: لبيك  - للإهلال بالحج والعمرة بأفعال الحج ( اللهم عمرة وحجا.  
من نسي أن يقول (لبيك عمرة متمتعا بها إلى الحج) ، فهل يكمل نسكه متمتعا؟, نعم، إذا كان نوى العمرة ولكن نسي التلبية وهو ناو العمرة فحكمه حكم من لبى ، لان التلبية سنة مؤكدة. 
ما اللفظ المشترك لمن أراد حج التمتع أو الإفراد أو القران؟, بإمكانهم أن يقولوا: (لبيك اللهم بحج)، والنية القلبية تحدد المقصود لو اخطأ المسلم بالقول. 
أي نوع من نسك الحج أفضل في الإداء؟, الراجح أن التمتع أفضل، ألنه الذي متناه النبي لنفسه لو لم يكن معه الهدي، وأمر به آله وأصحابه رضي الله عنهم. 
متى يكون حج الإفراد أفضل في الإداء؟, من أتى بالعمرة في سفرة، ثم قدم للحج فالإفراد أفضل له.   
لماذا لم يحج النبي | متمتعا، وهو يفعل الأفضل دائما؟, لان النبي |كان معه الهدي، فتعن عليه حج القران، ولو لم يسق الهدي لفعل ما نصح به الصحابة، وهو حج التمتع. 
إذا أحرم المسلم ولم يعي ّن نوعا من أنواع الحج، فهل تنعقد نيته؟, يصح إحرام ذلك الذي أحرم إحراما مطلق ًا، قاصدا أداء ما فرض الله عليه من غير تعين نوع من الأنواع الثلاثة لعدم معرفته بهذا التفصيل. 
ما حكم من حج مع الناس دون تحديد نوع نسك الحج؟, غالب الناس حجهم التمتع، فيأخذ حكم من يرافقهم. 
متى ُيشرع الإهلال بنية الحج أو العمرة؟, ُيستحب عند الركوب في السيارة وما يشابهها. 
من تم منعه من الدخول إلى مكة بملابس الإحرام، فماذا يفعل؟, له حالتان: - إن عقد نية الإهلال من الميقات، ثم تجاوزه بملابسه المعتادة، فعليه الفدية. - وإذا لم يهل بالنية، وتجاوز الميقات، ثم نواها في مكة فعليه فدية لتجاوزه الميقات بدون إحرام. 
هل عليه إثم لفعله ذلك؟, ليس عليه إثم بسبب الإكراه، لكن واجب عليه المسارعة بخلع   الملابس المعتادة ( المخيطة) متى ما زال مانع الارتداء. 
ما توجيه من جعل هذا المنع مثل العجز، ولا فدية عليه؟, هذا غير صحيح، فهناك قاعدة شرعية مطردة ( أن العمل المكلف به يسقط بالعجز) ومنها الحج برمته فإنه يسقط، بل هو الحجب حتى تحصل الاستطاعة. أما الحاجة إلى فعل المحذور فإن قاعدته تقول: ( أن الحاجة إلى فعله ترفع الإثم ولا تسقط الضمان) أي الفدية. 
من تم منعه من لبس الإحرام (الرداء والإزار)، ثم زال المانع، ولم يجد ملابس الإحرام ماذا يفعل؟, ورد عن ابن عباس ] في الصحيحين: ( سمعت رسول الله [ يخطب بعرفات: من لم يجد إزارا فليلبس سراويل، ومن لم يجد نعلن فليلبس خفن) فيجب عليه عدم استدامة لبسه، فإذا زال المانع فليخلع المخيط مباشرة لان القاعدة الفقهية ( أن الضرورة تقدر بقدرها - وماجاز من المحظورات لسبب زال الجواز بزواله.) 
ما حكم التلبية؟, سنة مؤكدة ، وقال بعض الفقهاء أنها واجبة في نطقها مرة واحدة. 
هل هناك من أجر لكثرة التلبية؟,نعم، ورد عن أبي هريرة ] مرفوعا: «ما أه  ُب ِّشر، ولا كبر مكب ٌر قط إلا بشر! .» قيل: بالجنة؟ قال: «نعم.» 
ما صيغة التلبية؟, جاء في حديث جابر ] : أن رسول الله [ أهل بالتوحيد: «لبيك اللهم لبيك، لبيك لا شريك لك لبيك، إن الحمد والنعمة لك وامللك، لا شريك لك.» رواه أبو داود 
ما معنى قولنا: (لبيك اللهم لبيك)؟, معناه: استجابة بعد استجابة لأمرك يا رب العالمين. فالاستجابة الأولى: دعوة إبراهيم الخليل عليه السلام:  ِر َجًال .}  َي ْأ ُتوك  ِّج  ِفي الناس بِا ْ َحل  { َو َأ ِّذن  والثانية: دعوة النبي للناس لأداء ركن الحج. 
ما معنى الكلمات التي في التلبية؟, ( لا شريك لك:) أي لا يستحق العبادة سواك، ولا يشرك معك غيرك . (إن الحمد:) جميع المحامد و(النعمة:) ما أنعم الله به على عباده. و( امللك:) لان المال ك هو الله، ثم ختمها بنفي الشرك. 
هل يجوز التلبية بأدعية لم يقلها النبي، ؟, لا بأس بهذا، لان النبي سمع من يدعو بغير تلبيته ولم ُينكر عليه، وقال نافع: وكان ابن عمر يزيد فيها -أي التلبية:- (لبيك وسعديك والخير بن يديك، لبيك والرغباء -أي الطلب والمسألة-إليك والعمل .) رواه مالك 
هل ُيستحب في التلبية رفع الصوت، أم الإسرار بها؟,   ُسئِل: يستحب فيها رفع الصوت، 
هل على المرأة تلبية مثل الرجل؟, نعم، فالنصوص الواردة عامة تشمل الجميع. 
ما حكم رفع المرأة صوتها في التلبية؟, هذا أمر ممكن، لثبوته عن أم المؤمنين عائشة رضي الله عنها، فقد ورد عن القاسم بن محمد قال: «خرج معاوية ] ليلة النفر، فسمع صوت تلبية، فقال :] من هذا؟ قيل: عائشة أم املؤمنن، اعتمرت من التنعيم.» رواه ابن أبي شيبة 
إن كان ثمة خوف فتنة من صوتها، فما العمل؟, إن كان هذا واردا فلها أن ترفع صوتها فقط إن كانت مع محارمها أو لوحدها، وإن كانت بقرب رجال أجانب فالأفضل لها الإسرار، ذكر هذا ابن تيمية. 
ما حكم مخالطة التلبية بالتهليل والتكبير؟, يجوز، لقول ابن مسعود :] « خرجت مع رسول الله [ فما ترك التلبية حتى رمى جمرة العقبة، إلا أن يخلطها بتكبير أو تهليل.» رواه أحمد 
ما المواضع التي ُيستحب الحرص بالتلبية فيها؟,   تستحب عند الركوب أو النزول، وكلما على مرتفعا أو هبط واديا أو لقي ركبا، وفي دبر كل صلاة وبالأسحار. وقال الإمام الشافعي: ونحن نستحبها على كل حال. 
متى يتوقف المعتمر عن التلبية؟, إذا رأى بيوت مكة، وقيل إذا رأى الحرم، والأمر فيه سعة. 
هل يشترط عند التلبية الاضطباع ( إخراج الكتف الأيمن)؟, لا يشترط، والاضطباع يكون فقط عند البدء بطواف القدوم، لكن قبله أو بعده على الإنسان تغطية كتفيه. 
هل تبطل الإنابة بنسيان اسم الشخص المناب عنه؟, لا يؤثر، فالعبرة بالنية، وإن تلفظ الحاج بالاسم عند إهلاله فحسن. 
من يخشى زيادة المرض عليه، هل عليه شيء لو خلع إحرامه بعد النية ورجع إلى بلده؟, من كان يخشى المرض فله أن يشترط عند إهلاله، فيقول: (فإن حبسني حابس فمحلي حيث حبستني)، ثم لا شيء عليه إن قطع عمرته لوجود العذر ، أما من لم يشترط فلا ينبغي له قطع العمل، وإن قطعها فعليه الفدية ( ذبح شاة.) 
ما الفرق بني الاشتراط والإحصار؟, الاشتراط : أن يشترط المحرم عند إحرامه بقول: (إن حبسني حابس فمحلي حيث حبستني) وهذا خشية زيادة المرض، أو ثمة ما يتوقع حدوثه من موانع، فإن وقع المانع ، يتحلل وليس عليه فدية أو هدي.   والإحصار: أن يمنع شيء مفاجئ المعتمر وهو لم يشترط، فإن وقع المانع من العمرة فعليه التحلل والنحر. 
ما الموضع الواجب نحر هدي الإحصار فيه؟, يتم ذبحه في مكان الإحصار. 
هل ُيشرع على من لم يخش المرض أن يشترط ؟, لا يشرع له، فالنبي لم يعلم الاشتراط أحدا من الصحابة رضي الله عنهم إلا ضباعه بنت الزبير ألنها خشيت المرض، وعلى المسلم أن يهل من غير اشتراط. 
هل يمكن القول أن الحائض بمقدورها الاشتراط؟, نعم يمكن قول ذلك . 
هل ُيشرع عند الإهلال قول: (نويت أن أعتمر لله تعالى)؟, العمرة والحج فيهما أهلال بالدخول في النسك، وهو قولنا: (لبيك اللهم بعمرة)، وأجاز بعض العلماء الإخبار بالنية فيهما فقط. 
هل على الصغير إحرام وتلبية ؟, لا يجب هذا على الصغير الذي لم يبلغ، لكن لو اعتمر أو حج فله ولوالديه أجر، وتبقى عليه حجة الإسلام إذا بلغ. 
من نوى الحج متمتعا، وبعد الميقات غير رأيه ولبى بالحج مفردا، هل فعله صحيح ؟, إن كان هذا قبل الإهلال بالحج، فلا بأس، وأما إن كان لبى بالعمرة والحج جميعا من الميقات، ثم أراد أن يجعله حجا    سوق الهدي معه، فهل  فقط فليس له ذلك. 
من نوى حج القران ولم يتمكن من يستمر في نيته أو يغيرها ؟,  لا يشترط فيه أن يكون الهدي مع الحاج، فله أن يشتريه من مكة في أيام النحر، مع وجود النية لذلك، لكن من لم يأت بالهدي معه وأراد القران فالأولى أن يجعل حجه متمتعا. 
هل يمكن أن يكون الحاج قارنا مع عدم سوقه ( إي: إحضاره) الهدي من بلده؟, لا يشترط في حج القران سوق الهدي، ويجوز شراؤها من مكة ونحرها في يوم النحر. 
من اعتمر عن شخص، وحج عن نفسه هل يكون متمتعا؟, نعم يكون في حكم التمتع، وعليه الهدي في الحج، وهذا لمن حج عن نفسه قبل ذلك. 
هل المتبرع للغير بالحج، بمقدوره العمرة عن نفسه وجعل الحج إنابة ؟, المتعارف عليه بن المسلمين - من غير تحديد - أن الإنابة تكون للعمرة واحلج، فينبغي أن تكون الحجة والعمرة لمن أعطاه المال ، والعمل بالعرف واجب عند الإطاقة في الإحكام. 
هل بالإمكان جعل العمرة لألب ، إذا كان المسلم مؤديا لها في السابق، ويجعل الحج له ألنه أول مرة؟, نعم، والأولى أن يجعل عمرته وحجه لنفسه، ثم التالية يجعلها عن والده أو عمن أراد.   
شخص أحرم مفردا، ورفقته يريدون الذهاب إلى المدينة، فماذا يفعل ليبعد عنه المشقة؟, المشروع له أن يجعل إحرامه عمرة؛ ويطوف ويسعى ويقصر،  ويتحلّل، ثم يحرم بالحج في وقت الحج ، ويكون بذلك متمتعا ، وعليه هدي التمتع. خامسا: محظورات على المحرم 
ما المقصود بالمحظورات؟, المحظورات: أي الأشياء الممنوع منها الحاج أو المعتمر وهو ُم ْح ِرم، وإلا فإن هذه الممنوعات أصلها حال، لكن ُمنعت في وقت معن وهو وقت الإحرام، والإحرام: (الدخول في النسك)، لا مجرد لبس الإزار والرداء. 
ما وقت المنع من هذه الامور؟, مع الإهلال بنسك العمرة أو الحج. 
هل هناك فرق بني ترك الواجب وفعل المحظور في العقوبة؟, نعم، ترك الواجب فيه كفارة وهي ذبح شاة. أما فعل المحظور ففيه التخيير بإحدى ثلاث، إما صيام ثلاثة أيام، أو إطعام ستة مساكن، أو ذبح شاة، وهذه لفدية الأذى، وتختلف عن كفارة الجماع. 
مقولة ( من ترك نسكا فعليه دم ) ما المراد بها؟, هذا قول محفوظ عن ابن عباس ]، ويتعلق بالأشياء المأمور بفعلها في العمرة أو الحج، فمن تركها فعليه فدية وهي نحر    ُسبع بدنة (البعير)، أو بقرة.  شاة، أو  
هل الفدية والإثم متعلقان بكل من ارتكب محظورا؟, ينبغي أن نستفسر عن حال المخطئ، فلا يخلو من أحوال: الحالة الأولى: أن يفعل المحظور وهو معذور، إما بالجهل أو النسيان، فهذا لا إثم ولا فدية عليه. الحالة الثانية: فعلها عمدا، ولكن لعذر يبيح فعل المحظور (مثل المرض أو البرد) فلا إثم عليه، لكن عليه الفدية. الحالة الثالثة: أن يفعله عمدا بلا عذر، وهذا آثم وعليه الفدية، وعليه أيضا التوبة والاستغفار من الإثم. 
متى ُيؤثر المحظور في الفاعل، ويستوجب عليه الفدية؟, لا يؤثر فعل المنهي إلا بالتذكر، والعلم، والإرادة، وبيانهم : العلم: وضده الجهل، فمن أخطأ جاها بالمنهيات فندله على الصواب ولا شيء عليه. التذكر: وضده النسيان، فمن فعل محظورا ناسيا أنه محرم، فلا شيء عليه. الإرادة: وضدها الإكراه، فمن ُأكره على فعل محظور، فإنه معذور، ولا يترتب على فعله إثم ولا كفارة. 
ما الجهل الذي ُيعذر به المحرم؟,  ُيعذر به المحرم الإ يدري أن ما وقع فيه حرام.  الجهل الذي  وليس بعذر إن كان الجهل بما يترتب على الفعل من فدية. 
هل كل المحظورات فيها الفدية؟,   لا، لان المحظورات على أقسام: القسم الأول: بطان العمل فقط: كعقد الزواج والخطوبة، وله أن يستمر في النسك، وليس فيه فدية. القسم الثاني: ما فديته بدنة (بعير) أو بقرة، وهو الجماع قبل التحلل الأول، وفيه أيضا الإعادة للحج. القسم الثالث: فدية الأذى، وفيها صيام ثلاثة أيام، أو إطعام ستة مساكن (لكل مسكن نصف صاع)، أو ذبح شاة، وهذا إن ارتكب أحد هذه الامور: إزالة الشعر، قص الظفر، التطيب ، المباشرة لشهوة، لبس القفازين، انتقاب المرأة ، لبس الرجل للمخيط، تغطية رأسه. القسم الرابع: فدية الصيد. 
ما دليل هذا الفدية بالمحظورات؟,  َح َّتى َي ْب ُل َغ لا ه ْد ُي  ُر ُءوس ُك ْم  دليله قوله تعالى: {و َال َ ْحت ِل ُقوا  ِس ِه َف ِف ْد َي ٌة ِم ْن  َر ْأ  َم ِريضا َأ ْو بِ ِه َأ ًذى ِم ْن  ِم ْن ُك ْم  َف َم ْن َكان  َم ِح َّل ُه  ٍك} ( البقرة)196:  َأ ْو ُن ُس  َص َد َق ٍة  َأ ْو  ِص َيام  
فدية المحظورات ( القسم الثالث ) هل هي على التخيير أم الترتيب؟, هي على التخيير في الفعل. 
هل يمكن أن يشترك مجموعة من الحجاج في الفدية؟, نعم، يجوز أن يشترك سبعة أشخاص في بقرة أو بعير. 
هل شاة الفدية يجوز لذابحها الاكل منها؟,   لا، ألنها لفقراء مكة فقط، فإن أكل منها فعليه فدية أخرى. 
من اختار فدية الصوم، فهل يجب عليه أداء الصوم في مكة؟, له الصوم في أي زمان ومكان بعد الحج، ولا يلزم أن يكون في حال إحرامه. 
هل يشترط الصوم في مكان، أم في أي زمن ومكان؟, لا يشترط التحديد، فيجزئ الصوم بكل مكان، ألنه لا يتعلق بنفع شخص آخر، فيجزئ في كل مكان وزمان آخرين. 
ما حكم من ارتكب أكثر من محظور؟, الإمر يحتاج إلى تفصيل: فإن فعل المحرم محظورات من جنس واحد: كمن لبس قميصا وعمامة وسراويل، فليس عليه إلا فدية واحدة. وإن فعل محظورات من أجناس مختلفة: كمن حلق، ولبس مخيطا، وجامع أهله، فعليه فدية لكل محظور. 
مقولة: «من ترك نسكا أو نسيه فليهرق دما» ماذا تعني؟, هذا قول البن عباس، ولا يقوله من جهة الرأي، ولهذا فله حكم الرفع، وليس له مخالف من الصحابة، ويعني أن من ترك واجبا، عمدا أو سهوا أو جها؛ كرمي الجمار، أو المبيت  ُيذبح في مكة،  ليالي منى، وطواف الوداع، ونحو ذلك: دم ويقسم على الفقراء. سادسا: الممنوعات العامة:  
ما المحظورات العامة التي يشترك الرجل والمرأة في وجوب تجنبها مع الإحرام؟,   المحظورات العامة المشتركة: تقليم الأظفار، قص الشعر، استعمال الطيب (العطورات)، الجماع ومقدماته، النكاح والخطبة، صيد البر أو الإعانة عليه. 
هل الرجعة عن الطالق من المحظورات في الحج؟, لا، فتجوز الرجعة، والممنوع مع الإحرام : الزواج أو الخطبة. 
ماذا يقصد بحلق الشعر؟, المراد بحلق الشعر إزالته أو قصه بأي نوع من أنواع الإزالة مثل: القص - القطع - الحرق. 
ماذا يشمل المحظور في قص الشعر؟, يدخل في المنع جميع الشعر الذي بالبدن: الرأس، الشارب، اللحية، وغيره. 
هل ُيشرع للمريض أن يحلق شعره؟, نعم، لكن من حلق جميع شعره أو أكثره لعذر شرعي، بسبب القمل أو الأذى فعليه الفدية ولا إثم عليه، لحديث كعب .] 
هل السباحة أو الحك تعتبران من المحظورات؟, لا، حتى ولو سقط شعر، ألنه في حكم الشعر امليت. 
هل ُتشرع الحجامة للمحرم زمن الإحرام؟, تشرع؛ ولو احتاج لقص بعض شعره لموضع الحجامة فلا فدية عليه، ملا صح عن النبي :[ أنه احتجم وهو محرم، ولم يفد ولم يأمر بذلك. لكن إذا حلق المحرم أغلب شعره فعليه الفدية.   
ماذا يفعل من وضع الطيب على جسده أو ثوبه وهو محرم؟, عليه نزع الثوب وغسل الطيب من على جسده، لقول النبي للرجل الذي أحرم بجبة بعدما تضمخ بطيب: «أما الطيب الذي بك فاغسله ثلاث مرات، وأما اجلبة فانزعها.».. متفق عليه 
هل يشترط عند غسل الإحرام من الطيب زوال لونه؟, إذا تحقق المحرم من غسل الطيب وبقي لونه كالصفرة والحمرة فهذا لا يوثر عليه، لان الطيب زال وبقي لونه فقط. 
هل يؤثر بقاء لون ورائحة الطيب على الجسد بعد الإحرام؟, المنع في الطيب إمنا هو ابتداؤه وليس استدامته، يعني إذا تطيب قبل الإحرام ثم أحرم فإنه لا يلزمه غسله بعد ذلك. 
ماذا على من علم أن في ثوبه طيبا ولم يبادر لغسله مباشرة؟, إذا علم المحرم أنه يجب عليه غسل الطيب أو خلع الثوب ونحوه فبادر إلى الغسل أو النزع فلا شيء عليه؛ أما إذا تأخر  ًا ، ف المحرم قد استدامها وعليه الفدية.  تكاس  
هل قص الأظافر من الممنوعات على المحرم؟, نعم من الممنوعات في وقت الإحرام. 
ظفر يكاد أن يسقط، هل يجوز للمحرم أن يقطعه؟, يجوز قصه، ولا يعد هذا الفعل وقوعا في محظورات الإحرام. 
من قص من أظفاره بأسنانه بغير شعور. ما حكم ذلك؟, لا شيء عليه، ألنه لا يدخل في التعمد. 
ما الفرق بني القص والتقليم لأظافر؟,   القص: قطع أو إزالة مقدم الظفر ، أما التقليم: فهو ما يكون على جوانب الظفر. 
هل قطع الأظافر من الرجلين لهما حكم أظافر الأصابع؟, نعم، سواء في التعمد أو الجهل. 
هل قطع شيء من الشفة يعد من وقوع في المحظورات؟, لا شيء فيه، ألنه إزالة جلد ميت. 
هل يجوز استعمال السواك أو فرشاة الإسنان للمحرم؟, نعم يجوز ذلك بالنسبة للرجل والمرأة في كل حال ووقت، ولا يعد المعجون من التطيب. 
ما حكم وضع المراهم بعد الإحرام؟, يجوز، مادامت للعلاج أو للراحة، وبعيدة عن التطيب والترفه. 
هل يجوز التبرع بالدم من المحرم؟, نعم يجوز. سابعا: المحظورات على الرجال خاصة 
ما الواجب على المحرم من الرجال – خاصة - تجنبه؟, يحرم على الرجال خاصة بعد الدخول في النسك: تغطية الرأس بلبس ملاصق، وأيضا لبس المخيط (المحيط) للجسد. 
ما معنى قول الفقهاء: (ال يلبس الرجل المحرم المخيط)؟, المخيط: يقصد به ُلبس ما كان محاكا على قدر العضو، ويقال فيه المحيط (الإحاطة)،   
هل هذا التقييد من كالم النبي؟, لا، لكنه قيل أنه من كام التابعي إبراهيم النخعي. 
ما هو التوجيه النبوي في تحديد ما يلبسه المحرم؟, النبي حدد ما يحرم على الرجل لبسه، فقال: «لا يلبس القمص، ولا العمائم، ولا السراويلات، ولا البرانس، ولا الخفاف.» رواه البخاري 
هل يجوز للرجل المحرم لبس القفاز؟, لا يجوز له ذلك، لان النبي نهى عن الخفين وهما يستران القدمين، وكذلك القفازان يستران اليدين. 
من لم يجد نعلين، فماذا يفعل؟, له أن يلبس اخلفن، من غير قطع ملا فوق الكعب، ولا شيء عليه. 
هل ُيمنع المحرم من تغطية رأسه؟, نعم، يمنع من تغطية رأسه بملاصق، لقوله:(الا يلبس المحرم.. العمائم.) 
هل يجوز له استعمال المظلة وقت الإحرام؟, نعم 
هل حمل الأغراض على الرأس يعد من المحظورات؟, لا بأس به ولا يعد من تغطية الرأس. 
